#"Step" | "Time (ps)" | "Potential Energy (kJ/mole)" | "Kinetic Energy (kJ/mole)" | "Total Energy (kJ/mole)" | "Temperature (K)" | "Box Volume (nm^3)"
11000 | 21.999999999998685 | -47634.40890198712 | 7422.429290790111 | -40211.979611197006 | 305.2010430569017 | 26.36155648709822
12000 | 23.999999999997577 | -47734.176201454684 | 7295.774207700975 | -40438.40199375371 | 299.99314387014533 | 26.291882359001196
13000 | 25.99999999999647 | -47895.92560435574 | 7204.018460664898 | -40691.90714369084 | 296.2202618924586 | 26.210184052095094
14000 | 27.99999999999536 | -47839.77404587672 | 7101.136745354161 | -40738.63730052256 | 291.98989396382353 | 26.194440242768582
15000 | 29.99999999999425 | -48034.412314576664 | 7513.470701881684 | -40520.94161269498 | 308.9445524307125 | 26.15505610873111
