#"Step" | "Time (ps)" | "Potential Energy (kJ/mole)" | "Kinetic Energy (kJ/mole)" | "Total Energy (kJ/mole)" | "Temperature (K)" | "Box Volume (nm^3)"
11000 | 21.999999999998685 | -239028.87761747965 | 26787.343423430342 | -212241.5341940493 | 296.80118644626873 | 108.5344369099705
12000 | 23.999999999997577 | -239864.41107060725 | 27093.748961160425 | -212770.66210944683 | 300.19613030816924 | 107.73044370484217
13000 | 25.99999999999647 | -239995.14510629012 | 27135.15942748869 | -212859.98567880143 | 300.6549542887052 | 106.2496518804068
14000 | 27.99999999999536 | -239791.98589104868 | 26745.45785549376 | -213046.52803555492 | 296.3370983856483 | 104.73736901015093
15000 | 29.99999999999425 | -240798.32501582708 | 26948.67266749742 | -213849.65234832966 | 298.58869894016186 | 103.90321789505259
