#"Step" | "Time (ps)" | "Potential Energy (kJ/mole)" | "Kinetic Energy (kJ/mole)" | "Total Energy (kJ/mole)" | "Temperature (K)" | "Box Volume (nm^3)"
11000 | 21.999999999998685 | -231057.06550029316 | 27051.173722558655 | -204005.8917777345 | 303.30086420080505 | 114.25342287419342
12000 | 23.999999999997577 | -231882.9411495371 | 27194.42699966044 | -204688.51414987666 | 304.90703638357934 | 112.91963193799052
13000 | 25.99999999999647 | -231403.93251711573 | 26618.302268931933 | -204785.6302481838 | 298.4474597859217 | 110.84276240971548
14000 | 27.99999999999536 | -232414.29682324524 | 27224.517913382268 | -205189.77890986297 | 305.24441916149595 | 109.31102509114291
15000 | 29.99999999999425 | -233398.64420714637 | 26839.506118616206 | -206559.13808853016 | 300.9276227341872 | 108.20845174696687
