#"Step" | "Time (ps)" | "Potential Energy (kJ/mole)" | "Kinetic Energy (kJ/mole)" | "Total Energy (kJ/mole)" | "Temperature (K)" | "Box Volume (nm^3)"
11000 | 21.999999999998685 | -34262.88140637746 | 7201.002657827688 | -27061.878748549774 | 291.60994893126787 | 26.60910005032234
12000 | 23.999999999997577 | -34136.124716135455 | 7589.041371311992 | -26547.083344823463 | 307.3238647287449 | 26.620240638864697
13000 | 25.99999999999647 | -33978.584065935676 | 7496.49246302899 | -26482.091602906687 | 303.5760279759402 | 26.603773472554952
14000 | 27.99999999999536 | -34318.56506501927 | 7470.400053238962 | -26848.165011780307 | 302.5193964694801 | 26.60203401047251
15000 | 29.99999999999425 | -33708.936627275514 | 7368.71654607309 | -26340.220081202424 | 298.40164735303455 | 26.521121095416337
